,room,huskies_k
1358,2,-1.2352941176470589
1359,1,0.0
1362,3,0.8571428571428571
1363,4,-0.7
1373,4,-1.9
1374,3,7.666666666666667
1375,3,3.0
1376,4,1.3636363636363635
1377,4,-1.0
1378,4,-2.857142857142857
1379,3,2.0
1380,2,2.2
1381,2,9.0
1382,2,0.2777777777777778
1383,3,1.6666666666666667
1384,4,-1.5384615384615385
1385,3,-0.5769230769230769
1386,2,2.0625
1387,2,1.0
1388,3,1.7142857142857142
1389,3,2.9130434782608696
1419,2,2.0
1420,2,0.7931034482758621
1427,2,-0.5454545454545454
1436,1,0.0
1437,2,0.0
1438,3,-0.0
1439,2,3.5
1440,2,-1.1304347826086956
1441,1,1.4666666666666666
1443,2,-3.0
1444,2,-1.4666666666666666
1454,2,-0.5555555555555556
1455,1,-0.5
1456,1,1.08
1457,4,0.8235294117647058
1458,5,-3.6666666666666665
1459,4,-1.75
1460,4,0.8333333333333334
1461,5,-1.4761904761904763
1462,4,1.6666666666666667
1463,4,-1.6
1464,4,-6.75
1465,4,-13.0
1466,4,0.75
1467,4,-1.2
1468,4,-4.0
1469,3,-1.5384615384615385
1470,2,inf
1471,2,0.36
1472,3,9.5
1473,3,2.1333333333333333
1480,2,1.875
1481,2,0.625
1482,3,0.09090909090909091
1487,2,inf
1488,2,-4.6
1489,2,-1.0909090909090908
1490,2,inf
1491,2,0.7142857142857143
1503,2,-0.6666666666666666
1504,1,1.1428571428571428
1505,2,4.666666666666667
1507,2,-2.909090909090909
1508,2,-6.0
1509,2,0.5
1510,2,1.0
1511,3,-3.3333333333333335
1512,3,-4.0
1513,2,2.090909090909091
1514,3,0.2727272727272727
1522,2,-2.6
1523,2,0.15217391304347827
1533,4,-3.5555555555555554
1534,3,-28.0
1538,1,0.3333333333333333
1539,3,-1.380952380952381
1540,2,4.5
1541,2,0.2857142857142857
1542,2,1.4285714285714286
1543,3,-0.32
1544,2,2.0714285714285716
1545,3,-4.2
1546,2,0.125
1547,3,-0.02564102564102564
1549,1,2.2
1550,2,3.6666666666666665
1551,2,-4.714285714285714
1552,2,-10.0
1553,2,22.0
1554,2,1.6666666666666667
1555,2,-0.42857142857142855
1556,2,inf
1557,4,0.6
1558,4,0.16666666666666666
1559,4,-1.1428571428571428
1560,4,-0.0
1561,3,-24.5
1562,3,7.0
1563,3,-0.5
1564,3,0.7916666666666666
1565,4,0.08333333333333333
1566,4,-1.6
1567,4,2.6666666666666665
1568,3,-2.0
1577,2,2.5
1579,2,-0.2777777777777778
1580,1,1.1851851851851851
1608,4,-0.2857142857142857
1609,4,-3.0
1610,3,23.0
1611,3,0.9523809523809523
1623,3,0.4166666666666667
1624,4,0.5333333333333333
1644,2,
1645,2,-1.8
1646,2,-0.6956521739130435
1662,2,-0.13043478260869565
1663,1,1.0
1664,2,inf
1666,1,15.0
1669,1,0.6818181818181818
1670,2,1.2222222222222223
1671,3,-2.6666666666666665
1672,3,inf
1673,3,16.0
1674,3,-11.666666666666666
1675,2,-20.0
1676,2,1.3636363636363635
1677,3,3.5714285714285716
1708,2,-4.0
1709,2,inf
1712,2,-5.2
1713,2,-3.625
1714,1,0.2962962962962963
1715,3,7.0
1721,1,1.6363636363636365
1722,2,3.2857142857142856
1723,2,1.2
1724,3,6.5
1725,3,1.0909090909090908
1726,4,17.0
1727,4,inf
1728,4,1.6666666666666667
1729,4,-1.0
1730,4,-1.8
1731,4,-0.0
1732,3,4.2
1733,4,23.0
1734,4,4.333333333333333
1735,4,5.0
1736,4,inf
1737,4,1.5
1738,4,-0.3333333333333333
1745,2,0.225
1746,2,-5.142857142857143
1747,2,10.5
1748,2,1.8333333333333333
1749,3,inf
1763,4,0.3333333333333333
1764,4,-0.0
1768,2,4.5
1769,2,1.2857142857142858
1770,3,-3.0
1771,3,4.5
1772,3,-0.75
1773,2,inf
1774,2,-0.7142857142857143
1779,3,-32.0
1780,3,1.3157894736842106
1784,2,-2.823529411764706
1785,1,-3.125
1786,1,1.1111111111111112
1790,4,8.0
1791,4,3.5714285714285716
1792,4,2.4
1805,2,1.8888888888888888
1806,2,-6.5
1807,2,4.2
1808,3,1.625
1809,2,-1.5555555555555556
1810,1,1.5333333333333334
1811,2,1.3
1812,3,2.923076923076923
1813,3,12.0
1824,2,1.0
1825,3,-2.6666666666666665
1826,3,2.5
1827,4,-4.25
1828,3,-1.1666666666666667
1829,3,2.3636363636363638
1830,3,9.0
1831,3,0.42857142857142855
1832,4,9.0
1833,4,2.4
1847,3,3.5
1852,1,3.230769230769231
1853,2,0.22580645161290322
1854,3,1.2
1859,2,-6.0
1860,2,1.4666666666666666
1861,3,-3.0
1862,3,-3.75
1863,2,-2.090909090909091
1864,2,0.10869565217391304
1874,3,inf
1875,3,1.4285714285714286
1876,4,-7.0
1877,3,4.5
1878,4,-1.7777777777777777
1893,2,0.25806451612903225
1894,3,0.8571428571428571
1895,4,-2.5
1896,4,1.8333333333333333
1897,5,-0.375
1904,5,-11.0
1905,5,-1.0
1906,3,-1.05
1907,2,0.3898305084745763
1919,1,0.5
1920,4,-17.0
1933,1,-0.75
1934,1,0.25925925925925924
