,room,huskies_k
420,4,1.2666666666666666
421,3,13.0
422,3,5.25
423,3,-1.2352941176470589
424,2,2.4
425,3,32.0
426,3,1.4545454545454546
427,3,-3.0
428,3,-1.7272727272727273
429,3,-0.25
430,2,-16.0
431,2,0.8666666666666667
432,3,-4.6
433,2,2.3333333333333335
434,3,inf
435,3,1.375
436,3,-0.5384615384615384
437,3,-3.0
438,3,0.8333333333333334
439,2,-0.8333333333333334
441,1,5.111111111111111
442,3,-13.0
443,3,-0.875
444,3,2.0
449,1,2.4
450,2,3.0
451,3,2.5714285714285716
452,3,0.25806451612903225
453,4,23.0
454,5,-11.0
455,4,-5.0
456,4,-2.0
457,4,3.0
458,4,3.4444444444444446
459,4,-5.5
460,4,-6.2
461,4,6.125
462,4,inf
463,4,4.333333333333333
464,2,inf
465,2,6.666666666666667
466,2,1.1875
469,5,-0.6666666666666666
470,5,6.0
472,5,-3.0
473,5,-36.0
477,2,0.7647058823529411
478,3,0.7647058823529411
479,4,-2.2
480,4,-0.3076923076923077
481,3,6.166666666666667
486,5,-0.8125
493,2,3.4166666666666665
494,2,-1.5714285714285714
498,2,1.125
511,4,0.4666666666666667
512,5,-0.125
513,3,-4.2
514,3,-1.8571428571428572
534,1,1.3125
536,4,2.5
537,4,0.38095238095238093
542,1,-3.6153846153846154
543,1,1.1224489795918366
544,3,-0.6428571428571429
545,3,-1.8333333333333333
546,2,0.1
547,3,-1.3
548,2,5.666666666666667
549,3,-2.4545454545454546
551,3,3.5
552,5,-0.4
553,4,4.666666666666667
558,2,1.625
559,2,5.777777777777778
561,4,0.4583333333333333
562,5,-0.2222222222222222
563,4,1.0
564,5,9.0
